,title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
721,Sorry Not Sorry,Demi Lovato,dance pop,2017.0,2021‑01‑28,144.0,64.0,71.0,-7.0,26.0,89.0,204.0,2.0,23.0,81.0,2017.0,Solo
724,Passionfruit,Drake,canadian hip hop,2017.0,2021‑01‑28,112.0,46.0,81.0,-11.0,11.0,36.0,299.0,26.0,4.0,86.0,2017.0,Solo
725,Fake Love,Drake,canadian hip hop,2017.0,2021‑01‑28,134.0,48.0,93.0,-9.0,18.0,61.0,211.0,11.0,29.0,78.0,2017.0,Solo
730,Mask Off,Future,atl hip hop,2017.0,2021‑01‑28,150.0,43.0,83.0,-9.0,17.0,28.0,205.0,1.0,43.0,84.0,2017.0,Solo
732,No Limit,G-Eazy,indie pop rap,2017.0,2021‑01‑28,176.0,77.0,84.0,-4.0,9.0,41.0,245.0,1.0,24.0,76.0,2017.0,Solo
733,Most Girls,Hailee Steinfeld,dance pop,2017.0,2021‑01‑28,103.0,57.0,76.0,-7.0,9.0,42.0,204.0,5.0,8.0,77.0,2017.0,Solo
734,Now Or Never,Halsey,dance pop,2017.0,2021‑01‑28,110.0,59.0,67.0,-5.0,13.0,45.0,215.0,11.0,4.0,71.0,2017.0,Solo
735,NUMB,Hayden James,aussietronica,2019.0,2021‑06‑25,148.0,56.0,62.0,-7.0,9.0,40.0,217.0,18.0,4.0,64.0,2017.0,Solo
739,HUMBLE.,Kendrick Lamar,conscious hip hop,2017.0,2021‑01‑28,150.0,62.0,91.0,-7.0,10.0,42.0,177.0,0.0,10.0,87.0,2017.0,Solo
740,LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017.0,2021‑01‑28,126.0,59.0,80.0,-7.0,15.0,78.0,213.0,26.0,9.0,85.0,2017.0,Solo
741,DNA.,Kendrick Lamar,conscious hip hop,2017.0,2021‑01‑28,140.0,52.0,64.0,-7.0,8.0,42.0,186.0,0.0,36.0,83.0,2017.0,Solo
742,ELEMENT.,Kendrick Lamar,conscious hip hop,2017.0,2021‑01‑28,190.0,71.0,75.0,-5.0,25.0,48.0,209.0,20.0,49.0,76.0,2017.0,Solo
743,Young Dumb & Broke,Khalid,pop,2017.0,2021‑01‑28,137.0,54.0,80.0,-6.0,17.0,39.0,203.0,20.0,4.0,84.0,2017.0,Solo
745,Tunnel Vision,Kodak Black,florida rap,2017.0,2021‑01‑28,172.0,49.0,50.0,-8.0,12.0,23.0,268.0,6.0,29.0,78.0,2017.0,Solo
748,Strip That Down (feat. Quavo),Liam Payne,dance pop,2019.0,2021‑01‑28,106.0,50.0,87.0,-5.0,8.0,55.0,202.0,20.0,5.0,75.0,2017.0,Solo
749,Save That Shit,Lil Peep,emo rap,2017.0,2021‑01‑28,106.0,58.0,53.0,-9.0,42.0,14.0,232.0,3.0,3.0,82.0,2017.0,Solo
750,Gucci Gang,Lil Pump,emo rap,2017.0,2021‑01‑28,120.0,52.0,94.0,-7.0,12.0,70.0,124.0,24.0,6.0,69.0,2017.0,Solo
751,XO Tour Llif3,Lil Uzi Vert,melodic rap,2017.0,2021‑01‑28,155.0,75.0,73.0,-6.0,11.0,40.0,183.0,0.0,23.0,86.0,2017.0,Solo
