,Country,Continent,Title,Artists,Explicit
844,El Salvador,North America,Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg",0
845,El Salvador,North America,Azul,J Balvin,0
846,El Salvador,North America,Tutu,"Camilo, Pedro Capó",0
847,El Salvador,North America,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",0
848,El Salvador,North America,Quiéreme Mientras Se Pueda,Manuel Turizo,0
1100,Guatemala,North America,Rojo,J Balvin,0
1101,Guatemala,North America,Yo Perreo Sola,Bad Bunny,0
1103,Guatemala,North America,Favorito,Camilo,0
1104,Guatemala,North America,Tattoo,Rauw Alejandro,0
1106,Guatemala,North America,Blinding Lights,The Weeknd,0
1107,Guatemala,North America,Si Veo a Tu Mamá,Bad Bunny,0
1108,Guatemala,North America,Fantasias,"Rauw Alejandro, Farruko",0
1109,Guatemala,North America,Sigues Con El,"Dímelo Flow, Arcangel, Sech",0
1110,Guatemala,North America,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",0
1111,Guatemala,North America,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",0
1112,Guatemala,North America,Tusa,"KAROL G, Nicki Minaj",0
1113,Guatemala,North America,Jangueo,"Alex Rose, Rafa Pabön",0
1118,Guatemala,North America,LA CANCIÓN,"J Balvin, Bad Bunny",0
1120,Guatemala,North America,Morado,J Balvin,0
1121,Guatemala,North America,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",0
1124,Guatemala,North America,PORFA,"Feid, Justin Quiles",0
1126,Guatemala,North America,Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg",0
1127,Guatemala,North America,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",0
1128,Guatemala,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
1129,Guatemala,North America,Amarillo,J Balvin,0
1130,Guatemala,North America,Don't Start Now,Dua Lipa,0
1131,Guatemala,North America,Dance Monkey,Tones And I,0
1133,Guatemala,North America,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",0
1134,Guatemala,North America,Relación,Sech,0
1135,Guatemala,North America,Azul,J Balvin,0
1137,Guatemala,North America,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",0
1138,Guatemala,North America,Quiéreme Mientras Se Pueda,Manuel Turizo,0
1139,Guatemala,North America,Bajo La Mesa,"Morat, Sebastian Yatra",0
1140,Guatemala,North America,Por Primera Vez,"Camilo, Evaluna Montaner",0
1141,Guatemala,North America,Se Me Olvidó,Christian Nodal,0
1142,Guatemala,North America,Tutu,"Camilo, Pedro Capó",0
1145,Guatemala,North America,Si Te Vas,"Sech, Ozuna",0
1147,Guatemala,North America,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",0
1148,Guatemala,North America,A Tu Merced,Bad Bunny,0
1149,Guatemala,North America,El Efecto,"Rauw Alejandro, Chencho Corleone",0
1151,Honduras,North America,Yo Perreo Sola,Bad Bunny,0
1152,Honduras,North America,Rojo,J Balvin,0
1156,Honduras,North America,Si Veo a Tu Mamá,Bad Bunny,0
1157,Honduras,North America,Favorito,Camilo,0
1158,Honduras,North America,Blinding Lights,The Weeknd,0
1161,Honduras,North America,Tattoo,Rauw Alejandro,0
1165,Honduras,North America,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",0
1166,Honduras,North America,LA CANCIÓN,"J Balvin, Bad Bunny",0
1167,Honduras,North America,Tusa,"KAROL G, Nicki Minaj",0
1168,Honduras,North America,Sigues Con El,"Dímelo Flow, Arcangel, Sech",0
1169,Honduras,North America,A Tu Merced,Bad Bunny,0
1170,Honduras,North America,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",0
1171,Honduras,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
1172,Honduras,North America,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",0
1174,Honduras,North America,Morado,J Balvin,0
1175,Honduras,North America,Fantasias,"Rauw Alejandro, Farruko",0
1178,Honduras,North America,Relación,Sech,0
1179,Honduras,North America,Don't Start Now,Dua Lipa,0
1180,Honduras,North America,Amarillo,J Balvin,0
1182,Honduras,North America,PORFA,"Feid, Justin Quiles",0
1184,Honduras,North America,Dance Monkey,Tones And I,0
1185,Honduras,North America,Jangueo,"Alex Rose, Rafa Pabön",0
1186,Honduras,North America,BENDICIONES,Bad Bunny,0
1188,Honduras,North America,Bajo La Mesa,"Morat, Sebastian Yatra",0
1189,Honduras,North America,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",0
1190,Honduras,North America,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",0
1192,Honduras,North America,Azul,J Balvin,0
1194,Honduras,North America,Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg",0
1195,Honduras,North America,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",0
1196,Honduras,North America,Si Te Vas,"Sech, Ozuna",0
1197,Honduras,North America,Confía,"Sech, Daddy Yankee",0
1198,Honduras,North America,Infeliz,"Arcangel, Bad Bunny",0
1199,Honduras,North America,Pero Ya No,Bad Bunny,0
1901,Mexico,North America,Yo Perreo Sola,Bad Bunny,0
1902,Mexico,North America,Blinding Lights,The Weeknd,0
1903,Mexico,North America,Rojo,J Balvin,0
1904,Mexico,North America,Favorito,Camilo,0
1905,Mexico,North America,Jangueo,"Alex Rose, Rafa Pabön",0
1906,Mexico,North America,Morado,J Balvin,0
1907,Mexico,North America,Azul,J Balvin,0
1908,Mexico,North America,Tattoo,Rauw Alejandro,0
1909,Mexico,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
1910,Mexico,North America,Si Veo a Tu Mamá,Bad Bunny,0
1911,Mexico,North America,Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg",0
1912,Mexico,North America,Tusa,"KAROL G, Nicki Minaj",0
1913,Mexico,North America,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",0
1915,Mexico,North America,Don't Start Now,Dua Lipa,0
1916,Mexico,North America,El Efecto,"Rauw Alejandro, Chencho Corleone",0
1919,Mexico,North America,Amarillo,J Balvin,0
1921,Mexico,North America,Sigues Con El,"Dímelo Flow, Arcangel, Sech",0
1922,Mexico,North America,Se Me Olvidó,Christian Nodal,0
1923,Mexico,North America,Dance Monkey,Tones And I,0
1924,Mexico,North America,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",0
1925,Mexico,North America,Break My Heart,Dua Lipa,0
1929,Mexico,North America,PORFA,"Feid, Justin Quiles",0
1931,Mexico,North America,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",0
1932,Mexico,North America,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",0
1934,Mexico,North America,LA CANCIÓN,"J Balvin, Bad Bunny",0
1936,Mexico,North America,A Tu Merced,Bad Bunny,0
1937,Mexico,North America,Negro,J Balvin,0
1938,Mexico,North America,Fantasias,"Rauw Alejandro, Farruko",0
1939,Mexico,North America,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",0
1940,Mexico,North America,Me La Avente,Carin Leon,0
1942,Mexico,North America,AYAYAY!,Christian Nodal,0
1945,Mexico,North America,Yo Ya No Vuelvo Contigo - En Vivo,"Lenin Ramírez, Grupo Firme",0
1946,Mexico,North America,Amor Tumbado,Natanael Cano,0
1947,Mexico,North America,Blanco,J Balvin,0
2051,Nicaragua,North America,Yo Perreo Sola,Bad Bunny,0
2052,Nicaragua,North America,Rojo,J Balvin,0
2053,Nicaragua,North America,Tattoo,Rauw Alejandro,0
2054,Nicaragua,North America,Si Veo a Tu Mamá,Bad Bunny,0
2055,Nicaragua,North America,Favorito,Camilo,0
2056,Nicaragua,North America,Blinding Lights,The Weeknd,0
2060,Nicaragua,North America,A Tu Merced,Bad Bunny,0
2063,Nicaragua,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
2066,Nicaragua,North America,Tusa,"KAROL G, Nicki Minaj",0
2067,Nicaragua,North America,LA CANCIÓN,"J Balvin, Bad Bunny",0
2068,Nicaragua,North America,Fantasias,"Rauw Alejandro, Farruko",0
2070,Nicaragua,North America,Amarillo,J Balvin,0
2071,Nicaragua,North America,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",0
2074,Nicaragua,North America,Sigues Con El,"Dímelo Flow, Arcangel, Sech",0
2075,Nicaragua,North America,Don't Start Now,Dua Lipa,0
2076,Nicaragua,North America,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",0
2077,Nicaragua,North America,Morado,J Balvin,0
2079,Nicaragua,North America,Dance Monkey,Tones And I,0
2082,Nicaragua,North America,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",0
2083,Nicaragua,North America,Jangueo,"Alex Rose, Rafa Pabön",0
2084,Nicaragua,North America,Djadja,Aya Nakamura,0
2085,Nicaragua,North America,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",0
2087,Nicaragua,North America,BENDICIONES,Bad Bunny,0
2089,Nicaragua,North America,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",0
2091,Nicaragua,North America,Pero Ya No,Bad Bunny,0
2092,Nicaragua,North America,Bajo La Mesa,"Morat, Sebastian Yatra",0
2095,Nicaragua,North America,Tutu,"Camilo, Pedro Capó",0
2096,Nicaragua,North America,Por Primera Vez,"Camilo, Evaluna Montaner",0
2097,Nicaragua,North America,Azul,J Balvin,0
2099,Nicaragua,North America,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",0
2150,Panama,North America,Relación,Sech,0
2151,Panama,North America,Confía,"Sech, Daddy Yankee",0
2152,Panama,North America,Rojo,J Balvin,0
2155,Panama,North America,Yo Perreo Sola,Bad Bunny,0
2156,Panama,North America,Me Olvidé,Sech,0
2158,Panama,North America,Favorito,Camilo,0
2159,Panama,North America,Casino,Sech,0
2162,Panama,North America,Tattoo,Rauw Alejandro,0
2163,Panama,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
2164,Panama,North America,PORFA,"Feid, Justin Quiles",0
2165,Panama,North America,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",0
2167,Panama,North America,Si Te Vas,"Sech, Ozuna",0
2168,Panama,North America,Party En Mi Casa,Boza,0
2169,Panama,North America,Se Va Viral,"Sech, Nando Boom",0
2170,Panama,North America,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",0
2171,Panama,North America,Tusa,"KAROL G, Nicki Minaj",0
2172,Panama,North America,Trofeo,Sech,0
2174,Panama,North America,Sigues Con El,"Dímelo Flow, Arcangel, Sech",0
2176,Panama,North America,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",0
2177,Panama,North America,Follow,"KAROL G, Anuel AA",0
2178,Panama,North America,Blinding Lights,The Weeknd,0
2179,Panama,North America,Fantasias,"Rauw Alejandro, Farruko",0
2181,Panama,North America,Bajo La Mesa,"Morat, Sebastian Yatra",0
2182,Panama,North America,Portarse Mal,Sech,0
2185,Panama,North America,Amarillo,J Balvin,0
2186,Panama,North America,Si Veo a Tu Mamá,Bad Bunny,0
2187,Panama,North America,Definitivamente,"Daddy Yankee, Sech",0
2190,Panama,North America,En Lo Oscuro,Sech,0
2192,Panama,North America,Por Primera Vez,"Camilo, Evaluna Montaner",0
2193,Panama,North America,Uni,Sech,0
2194,Panama,North America,Fabuloso,"Sech, Justin Quiles",0
2195,Panama,North America,Morado,J Balvin,0
2197,Panama,North America,Keii,Anuel AA,0
3001,United States,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
3003,United States,North America,Blinding Lights,The Weeknd,0
3007,United States,North America,Party Girl,StaySolidRocky,0
3015,United States,North America,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",0
3019,United States,North America,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",0
3020,United States,North America,Sunday Best,Surfaces,0
3023,United States,North America,Circles,Post Malone,0
3024,United States,North America,Intentions (feat. Quavo),"Justin Bieber, Quavo",0
3025,United States,North America,Don't Start Now,Dua Lipa,0
3027,United States,North America,Watermelon Sugar,Harry Styles,0
3033,United States,North America,Falling,Trevor Daniel,0
3035,United States,North America,Be Kind (with Halsey),"Marshmello, Halsey",0
3036,United States,North America,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0
3038,United States,North America,Break My Heart,Dua Lipa,0
3039,United States,North America,Adore You,Harry Styles,0
3045,United States,North America,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",0
